localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
21baa632f07cd5232b810c9ddede8346, Locality 1, 7f7dbe94d6cebff235f79b5e5694386c,362971.2405,4171399.974,37.67957336,-118.5539536, 11S,3.39663806,4.72095191,-1, Dike orientation ,86.72504425,255.9595032,165.9595032,12.4431839, Mafic dikes, Fri Jun 17 16:03:45 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, d7269decdc08810c6eb15d89fafd4371,362970.6817,4171399.85,37.67957216,-118.5539599, 11S,3.35276799,4.75220831,-1, Dike orientation ,77.02778625,262.3760376,172.3760376,12.4431839, Mafic dikes, Fri Jun 17 16:00:41 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 154c74de633d33de0ff0214347aa468b,362973.1018,4171399.794,37.67957202,-118.5539325, 11S,3.36282592,4.74509629,-1, Dike orientation ,81.51764679,254.0335693,164.0335693,12.4431839, Mafic dikes, Fri Jun 17 15:59:49 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 32ae2e2c2c7aa65d287fda6d45c40299,360720.1419,4168451.564,37.65266915,-118.5789101, 11S,3.35010446,4.75408636,-1, Dike orientation ,81.78748322,7.96359396,277.9635925,12.4431839, Mafic dikes, Thu Jun 16 09:28:12 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 78c727752c243cc466d2d3dc31c80f56,360716.2675,4168453.235,37.65268363,-118.5789543, 11S,3.31708281,4.77718523,-1, Dike orientation ,79.98376465,15.84332466,285.8433228,12.4431839, Mafic dikes, Thu Jun 16 09:27:39 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 73e592d430937e51be82c8a4f51af27d,360715.3431,4168451.644,37.65266914,-118.5789645, 11S,3.59760098,4.56966128,-1, Dike orientation ,89,4.77690029,274.7769165,12.4431839, Mafic dikes, Thu Jun 16 09:27:05 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 4cda35b14d451ce1608c36c7cdb210fc,360628.6523,4168468.967,37.65281207,-118.5799502, 11S,3.45857544,4.67576656,-1, Dike orientation ,81.14412689,14.61925793,284.6192627,12.4431839, Mafic dikes, Thu Jun 16 09:21:49 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 75a484f481d4704045066e84e1f4f512,360629.781,4168472.229,37.65284164,-118.579938, 11S,3.36672263,4.74233232,-1, Dike orientation ,82.11003113,18.31507492,288.3150635,12.4431839, Mafic dikes, Thu Jun 16 09:21:20 2022, Chilled margin
21baa632f07cd5232b810c9ddede8346, Locality 1, c79c1fae5ed9ade69542d8b87e18faed,364663.8475,4167895.884,37.64825222,-118.5341152, 11S,3.5974919,4.56974715,-1, Dike orientation ,84.71549988,196.4207153,106.4207153,12.4431839, Mafic dikes, Wed Jun 15 11:23:29 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, c568313b0c2d9f02db9e806cb601e5b3,364598.6163,4167923.448,37.64849096,-118.5348595, 11S,3.33255544,4.76640444,-1, Dike orientation ,89,45.20401764,315.20401,12.4431839, Mafic dikes, Wed Jun 15 11:19:32 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, c7c3ba006a51cdf934b6f4d55455b9f3,364663.5656,4167896.939,37.64826169,-118.5341186, 11S,3.30413016,4.78615304,-1, Dike orientation ,85.75608063,17.79190254,287.7919006,12.43936157, Mafic dikes, Sat Mar 12 14:50:20 2022, Subparallel joint parallel to dike orientation 
21baa632f07cd5232b810c9ddede8346, Locality 1, dc150af3cc9d933e03888bb242f8cdd2,363952.2778,4168245.114,37.65129368,-118.5422436, 11S,6.89858521,10.30314818,-1, Dike orientation ,88.35146332,184.1316681,94.13166809,12.43936157, Mafic dikes, Sat Mar 12 13:16:25 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 2f23ba83958b99009a3b46883070eaa4,362112.086,4171528.543,37.680603,-118.5637177, 11S,3.39949833,4.71889268,-1, Dike orientation ,87.23686981,247.2352448,157.2352448,12.4431839, Quartz-mica hornfels, Fri Jun 17 11:00:25 2022, 
21baa632f07cd5232b810c9ddede8346, Locality 1, 68f199d4071ff7edd1cbe43693d62efa,362112.8307,4171528.404,37.68060187,-118.5637093, 11S,3.40446712,4.71530918,-1, Dike orientation ,84.57781982,253.7125244,163.7125244,12.4431839, Quartz-mica hornfels, Fri Jun 17 10:59:57 2022, Flow banding aligned with dike margin
